date,new_cases,new_cases_smoothed,total_cases,new_deaths,new_deaths_smoothed,total_deaths,hosp_patients,icu_patients,new_tests_smoothed,positive_rate,new_vaccinations_smoothed,people_fully_vaccinated_per_hundred,stringency_index
2020-01-05,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0
2020-01-06,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0
2020-01-07,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0
2020-01-08,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0
2020-01-09,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0
2020-01-10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-11,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-17,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-18,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-19,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-20,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-21,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-22,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-23,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-24,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-26,4,0.57,4,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-27,0,0.57,4,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-28,0,0.57,4,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-29,0,0.57,4,0,0,0,NA,NA,NA,NA,NA,NA,11.11
2020-01-30,0,0.57,4,0,0,0,NA,NA,NA,NA,NA,NA,19.44
2020-01-31,0,0.57,4,0,0,0,NA,NA,37,0.03,NA,NA,19.44
2020-02-01,0,0.57,4,0,0,0,NA,NA,40,0.01,NA,NA,19.44
2020-02-02,4,0.57,8,0,0,0,NA,NA,47,0.01,NA,NA,19.44
2020-02-03,0,0.57,8,0,0,0,NA,NA,50,0.01,NA,NA,19.44
2020-02-04,0,0.57,8,0,0,0,NA,NA,49,0.02,NA,NA,19.44
2020-02-05,0,0.57,8,0,0,0,NA,NA,46,0.02,NA,NA,19.44
2020-02-06,0,0.57,8,0,0,0,NA,NA,72,0.01,NA,NA,19.44
2020-02-07,0,0.57,8,0,0,0,NA,NA,92,0.01,NA,NA,19.44
2020-02-08,0,0.57,8,0,0,0,NA,NA,99,0.01,NA,NA,19.44
2020-02-09,8,1.14,16,0,0,0,NA,NA,105,0.01,NA,NA,19.44
2020-02-10,0,1.14,16,0,0,0,NA,NA,111,0.01,NA,NA,19.44
2020-02-11,0,1.14,16,0,0,0,NA,NA,134,0.01,NA,NA,19.44
2020-02-12,0,1.14,16,0,0,0,NA,NA,158,0.01,NA,NA,19.44
2020-02-13,0,1.14,16,0,0,0,NA,NA,150,0,NA,NA,19.44
2020-02-14,0,1.14,16,0,0,0,NA,NA,140,0,NA,NA,19.44
2020-02-15,0,1.14,16,0,0,0,NA,NA,151,0.01,NA,NA,19.44
2020-02-16,6,0.86,22,0,0,0,NA,NA,153,0,NA,NA,19.44
2020-02-17,0,0.86,22,0,0,0,NA,NA,154,0,NA,NA,19.44
2020-02-18,0,0.86,22,0,0,0,NA,NA,161,0,NA,NA,19.44
2020-02-19,0,0.86,22,0,0,0,NA,NA,144,0,NA,NA,19.44
2020-02-20,0,0.86,22,0,0,0,NA,NA,134,0,NA,NA,19.44
2020-02-21,0,0.86,22,0,0,0,NA,NA,127,0,NA,NA,19.44
2020-02-22,0,0.86,22,0,0,0,NA,NA,110,0,NA,NA,19.44
2020-02-23,0,0,22,0,0,0,NA,NA,109,0,NA,NA,19.44
2020-02-24,0,0,22,0,0,0,NA,NA,105,0,NA,NA,19.44
2020-02-25,0,0,22,0,0,0,NA,NA,84,0,NA,NA,19.44
2020-02-26,0,0,22,0,0,0,NA,NA,98,0,NA,NA,19.44
2020-02-27,0,0,22,0,0,0,NA,NA,104,0,NA,NA,19.44
2020-02-28,0,0,22,0,0,0,NA,NA,127,0,NA,NA,19.44
2020-02-29,0,0,22,0,0,0,NA,NA,153,0.01,NA,NA,19.44
2020-03-01,3,0.43,25,0,0,0,NA,NA,164,0.01,NA,NA,19.44
2020-03-02,0,0.43,25,0,0,0,NA,NA,190,0.01,NA,NA,19.44
2020-03-03,0,0.43,25,0,0,0,NA,NA,250,0.01,NA,NA,19.44
2020-03-04,0,0.43,25,0,0,0,NA,NA,311,0.01,NA,NA,19.44
2020-03-05,0,0.43,25,0,0,0,NA,NA,403,0.01,NA,NA,19.44
2020-03-06,0,0.43,25,0,0,0,NA,NA,457,0.02,NA,NA,19.44
2020-03-07,0,0.43,25,0,0,0,NA,NA,558,0.02,NA,NA,22.22
2020-03-08,68,9.71,93,0,0,0,NA,NA,595,0.02,NA,NA,22.22
2020-03-09,0,9.71,93,0,0,0,NA,NA,646,0.02,NA,NA,22.22
2020-03-10,0,9.71,93,0,0,0,NA,NA,706,0.02,NA,NA,22.22
2020-03-11,0,9.71,93,0,0,0,NA,NA,739,0.02,NA,NA,22.22
2020-03-12,0,9.71,93,0,0,0,NA,NA,817,0.02,NA,NA,27.78
2020-03-13,0,9.71,93,0,0,0,NA,NA,1030,0.02,NA,NA,27.78
2020-03-14,0,9.71,93,0,0,0,NA,NA,1256,0.02,NA,NA,38.89
2020-03-15,145,20.71,238,0,0,0,NA,NA,1468,0.03,NA,NA,38.89
2020-03-16,0,20.71,238,0,0,0,NA,NA,1736,0.04,NA,NA,38.89
2020-03-17,0,20.71,238,0,0,0,NA,NA,2017,0.04,NA,NA,38.89
2020-03-18,0,20.71,238,0,0,0,NA,NA,2383,0.04,NA,NA,73.15
2020-03-19,0,20.71,238,0,0,0,NA,NA,2665,0.04,NA,NA,73.15
2020-03-20,0,20.71,238,0,0,0,NA,NA,2884,0.04,NA,NA,73.15
2020-03-21,0,20.71,238,0,0,0,NA,NA,3092,0.04,NA,NA,73.15
2020-03-22,945,135,1183,10,1.43,10,NA,NA,3300,0.04,NA,NA,73.15
